 88    1.                         HSRASP1
 2.50 -2.06E+07 10673.0 3.349E+05 2.00E+04 1.04E+02 4.58E-07 0.0 8.E+04 0.0  0.0
 2.60 -2.22E+07 10804.0 3.550E+05 2.28E+04 1.18E+02 4.78E-07 0.0 8.E+04 0.0  0.0
 2.70 -2.38E+7  10935.0 3.772E+05 2.58E+04 1.35E+02 5.00E-07 0.0 8.E+04 0.0  0.0
 2.8  -2.48E+7  11060.  3.970E+05 4.12E+4  2.22E+2  5.17E-07 0.0 8.E4  0.0 0.0 
 2.9  -2.79E+7  11330.  4.426E+05 4.62E+4  2.74E+2  5.58E-07 0.0 8.E4  0.0 0.0 
 3.0  -3.12E+7  11580.  4.951E+05 5.19E+4  3.29E+2  6.05E-07 0.0 8.E4  0.0 0.0 
 3.1  -3.45E+7  11830.  5.521E+05 5.82E+4  3.88E+2  6.55E-07 0.0 8.E4  0.0 0.0 
 3.2  -3.80E+7  12070.  6.176E+05 6.53E+4  4.56E+2  7.12E-07 0.0 8.E4  0.0 0.0 
 3.3  -4.15E+7  12300.  6.888E+05 7.33E+4  5.67E+2  7.73E-07 0.0 8.E4  0.0 0.0 
 3.4  -4.51E+7  12530.  7.683E+05 8.22E+4  6.62E+2  8.40E-07 0.0 8.E4  0.0 0.0 

LOG(TAU)  Z      TEMP     P_GAS    P_ELEC  ABS-COEFF DENSITY  B   TURB  VELOC  
         [CM]    [K]      [CGS]     [CGS]  [CM^2/GM] [GM/CM^3][G] [CM/S] [CM/S]

A FURTHER COLUMN EACH OF GAMMA [DEGREES] AND CHI [DEGR] CAN BE ADDED AT THE END 

LOOK OUT! THE LAST 7 LINES ARE NOT SO ACCURATE AS THE ONES ABOVE THEM !!!!!!!
