Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.89     0.00        7     0.00     0.00  atom::lte(double***, double***)
  0.00      3.89     0.00        7     0.00     0.00  atom::info()
  0.00      3.89     0.00        7     0.00     0.00  atom::unpack(unsigned char*, unsigned char, io_class&)
  0.00      3.89     0.00        7     0.00     0.00  atom::rtclean(int, int, int, int, int, int, int, int)
  0.00      3.89     0.00        7     0.00     0.00  atom::rtsetup(double*, double*, int, double*, int, int, int, int, int, int, int)
  0.00      3.89     0.00        7     0.00     0.00  atom::popclean(int, int, int, int, int, int)
  0.00      3.89     0.00        7     0.00     0.00  atom::popsetup(int, int, int, int, int, int)
  0.00      3.89     0.00        7     0.00     0.00  atom::getlambda(double*, int&, double, double, double)
  0.00      3.89     0.00        6     0.00     0.00  atom::damp_col(double, double, double, double, double, signed char)
  0.00      3.89     0.00        4     0.00     0.00  pack(unsigned char*, char*)
  0.00      3.89     0.00        4     0.00     0.00  atom::atom(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        3     0.00     0.00  arg_extract(char*, char*&, char***&, char&, char&)
  0.00      3.89     0.00        3     0.00     0.00  hybf::unpack(unsigned char*, unsigned char, io_class&)
  0.00      3.89     0.00        3     0.00     0.00  cmdln::get(char const*, int&)
  0.00      3.89     0.00        3     0.00     0.00  helium::helium(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        2     0.00     0.00  pack(unsigned char*, unsigned char&)
  0.00      3.89     0.00        2     0.00     0.00  unpack(unsigned char*, unsigned int&, unsigned char)
  0.00      3.89     0.00        2     0.00     0.00  sock_class::recv(int&)
  0.00      3.89     0.00        2     0.00     0.00  id::~id()
  0.00      3.89     0.00        2     0.00     0.00  hybf::getlambda(int&)
  0.00      3.89     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8atmos_pp10anglesetupERPdS1_Ri
  0.00      3.89     0.00        1     0.00     0.00  del_ft5dim(double*****, int, int, int, int, int, int, int, int, int, int)
  0.00      3.89     0.00        1     0.00     0.00  reducepath(char*)
  0.00      3.89     0.00        1     0.00     0.00  atmos_pp_new(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  z_uncompress(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  pack(unsigned char*, int&, unsigned char)
  0.00      3.89     0.00        1     0.00     0.00  ft5dim(int, int, int, int, int, int, int, int, int, int)
  0.00      3.89     0.00        1     0.00     0.00  unpack(unsigned char*, int*, int, int, unsigned char)
  0.00      3.89     0.00        1     0.00     0.00  get_opt(char**&, optel*)
  0.00      3.89     0.00        1     0.00     0.00  atmos_new(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::read_atmos(char const*, char const*, unsigned char, io_class*)
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::read_spinor(char const*, char const*, io_class*)
  0.00      3.89     0.00        1     0.00     3.87  atmosphere::obs(double, double, double*, int)
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::init(char const*, io_class*)
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::resize(int, int, int, int, int, int)
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::unpack(unsigned char*, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::ltepops()
  0.00      3.89     0.00        1     0.00     3.84  atmosphere::nltepops()
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::popclean()
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::popsetup()
  0.00      3.89     0.00        1     0.00     0.00  atmosphere::atmosphere(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  sock_class::recv_id(id&)
  0.00      3.89     0.00        1     0.00     0.00  sock_class::send_id(id&)
  0.00      3.89     0.00        1     0.00     0.00  sock_class::sock_class(int)
  0.00      3.89     0.00        1     0.00     0.00  atmos_ppbez::atmos_ppbez(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  h_minus_mol::popclean(int, int, int, int, int, int)
  0.00      3.89     0.00        1     0.00     0.00  h_minus_mol::popsetup(int, int, int, int, int, int)
  0.00      3.89     0.00        1     0.00     0.00  id::id(sock_class*)
  0.00      3.89     0.00        1     0.00     0.00  id::id()
  0.00      3.89     0.00        1     0.00     0.00  reg::is_clr(unsigned long)
  0.00      3.89     0.00        1     0.00     0.00  reg::is_set(unsigned long)
  0.00      3.89     0.00        1     0.00     0.00  reg::unpack(unsigned char*, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  reg::reg(unsigned long)
  0.00      3.89     0.00        1     0.00     0.00  grid::resize(int, int, int, int, int, int)
  0.00      3.89     0.00        1     0.00     0.00  grid::unpack(unsigned char*, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  grid::grid(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  jnfo::jnfo()
  0.00      3.89     0.00        1     0.00     0.00  jnfo::jnfo(unsigned char*, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  jnfo::~jnfo()
  0.00      3.89     0.00        1     0.00     0.00  node::node(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  atmos_pp::anglesetup(double*&, double*&, int&)
  0.00      3.89     0.00        1     0.00     0.00  atmos_pp::atmos_pp(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  hydrogen::hydrogen(unsigned char*, int&, unsigned char, io_class&)
  0.00      3.89     0.00        1     0.00     0.00  io_class::io_class(char*, char*&, char const*, unsigned int, unsigned int, int, int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
